Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Assessment Score,Time Spent per Day,Material Name,Material Level,IQ of Student
Champak Pillai,10,Female,India,Telangana,Fatehpur,Regulatory affairs officer,Medium,Elementary,Beginner,Reading Comprehension,75.38486726049251,0.8144279963074427,Material_32,Basic,100.76873355204658
Oeshi Oza,5,Female,India,Karnataka,Panipat,Midwife,Medium,Elementary,Beginner,Math Basics,52.636416064554886,3.594660920770457,Material_49,Basic,56.90376107976721
Abhimanyu Randhawa,13,Male,India,Haryana,Ajmer,Industrial/product designer,Low,Middle,Intermediate,Algebra,45.28644604571938,1.1707506928429512,Material_40,Medium,103.92871391352895
Amol Nigam,7,Female,India,Tamil Nadu,Ghaziabad,Sub,High,Elementary,Beginner,Math Basics,60.181944077309666,4.874633391204042,Material_41,Basic,87.91930927963756
Raksha Bhasin,7,Female,India,Kerala,Gopalpur,Exhibition designer,High,Elementary,Beginner,Reading Comprehension,75.87194051041641,0.8735712252861848,Material_5,Basic,110.42075935062519
Ekta Ramakrishnan,8,Female,India,Maharashtra,Thane,Sports administrator,High,Elementary,Beginner,Math Basics,94.43689872542619,3.6203094780500784,Material_17,Basic,105.8548350663502
Mitesh Pandey,14,Female,India,Odisha,Jammu,"Administrator, education",Low,Middle,Intermediate,Algebra,49.19969786467035,2.222141484298569,Material_8,Medium,130.86143748719354
Dhriti Bhargava,13,Female,India,Karnataka,Navi Mumbai,Materials engineer,Medium,Middle,Intermediate,Earth Science,88.93425273346456,1.8256260900793861,Material_32,Medium,94.10958065781467
Samuel Mistry,14,Male,India,Goa,Nizamabad,Veterinary surgeon,High,Middle,Intermediate,Algebra,70.26752769157443,2.195727749492108,Material_3,Medium,105.7621556924266
Yatan Raju,5,Male,India,Rajasthan,Bokaro,"Engineer, drilling",High,Elementary,Beginner,Intro to Science,56.81908961123659,4.248829098797188,Material_34,Basic,100.91637126988063
Jagdish Khanna,8,Female,India,Madhya Pradesh,Kharagpur,Advice worker,Low,Elementary,Beginner,Reading Comprehension,44.02142992142783,3.9081550722233196,Material_26,Basic,86.7826391732791
Wazir Subramaniam,16,Female,India,Karnataka,Pimpri-Chinchwad,Homeopath,High,High,Advanced,Advanced Writing,73.13098559741123,0.6013040885754459,Material_21,Hard,112.67130905853587
Kritika Pau,5,Male,India,Punjab,Ujjain,Community education officer,Medium,Elementary,Beginner,Reading Comprehension,78.93557079595656,0.8744416107878685,Material_37,Basic,94.01622075909968
Lajita Edwin,10,Male,India,Bihar,Faridabad,Water quality scientist,High,Elementary,Beginner,Math Basics,70.409202733887,0.6205430448459281,Material_11,Basic,81.43011967275892
Aishani Chaudhari,18,Female,India,Rajasthan,Muzaffarpur,Electrical engineer,Medium,High,Advanced,Advanced Writing,51.68832791668918,3.851286593465709,Material_49,Hard,73.961512963687
