Name,Age,Gender,Country,State,City,Parent Occupation,Earning Class,Level of Student,Level of Course,Course Name,Assessment Score,Time Spent per Day,Material Name,Material Level,IQ of Student,Original IQ,Original Assessment Score
Champak Pillai,10,Female,India,Telangana,Fatehpur,Regulatory affairs officer,Medium,Elementary,Beginner,Reading Comprehension,0.30601393318477443,-1.3656230710230588,Material_32,Basic,0.04344214777431999,100.76873355204658,75.38486726049251
Oeshi Oza,5,Female,India,Karnataka,Panipat,Midwife,Medium,Elementary,Beginner,Math Basics,-1.0978806161025931,0.6296845524687293,Material_49,Basic,-2.6119184254990078,56.90376107976721,52.636416064554886
Abhimanyu Randhawa,13,Male,India,Haryana,Ajmer,Industrial/product designer,Low,Middle,Intermediate,Algebra,-1.5514755777108546,-1.1098986723352144,Material_40,Medium,0.23473116019763718,103.92871391352897,45.28644604571938
Amol Nigam,7,Female,India,Tamil Nadu,Ghaziabad,Sub,High,Elementary,Beginner,Math Basics,-0.632217017409189,1.548290618041105,Material_41,Basic,-0.7343961290826505,87.91930927963756,60.18194407730967
Raksha Bhasin,7,Female,India,Kerala,Gopalpur,Exhibition designer,High,Elementary,Beginner,Reading Comprehension,0.33607309962129883,-1.323177369937781,Material_5,Basic,0.6277263114987904,110.4207593506252,75.87194051041641
Ekta Ramakrishnan,8,Female,India,Maharashtra,Thane,Sports administrator,High,Elementary,Beginner,Math Basics,1.4817881824333679,0.6480919173413969,Material_17,Basic,0.35132866112577393,105.8548350663502,94.4368987254262
Mitesh Pandey,14,Female,India,Odisha,Jammu,"Administrator, education",Low,Middle,Intermediate,Algebra,-1.309973734297655,-0.35534028875458484,Material_8,Medium,1.8651001830796845,130.86143748719354,49.19969786467035
Dhriti Bhargava,13,Female,India,Karnataka,Navi Mumbai,Materials engineer,Medium,Middle,Intermediate,Earth Science,1.1421987023305435,-0.639910038992399,Material_32,Medium,-0.3596688323571931,94.10958065781467,88.93425273346456
Samuel Mistry,14,Male,India,Goa,Nizamabad,Veterinary surgeon,High,Middle,Intermediate,Algebra,-0.00979680336944011,-0.3742968034985432,Material_3,Medium,0.34571832692055104,105.7621556924266,70.26752769157443
Yatan Raju,5,Male,India,Rajasthan,Bokaro,"Engineer, drilling",High,Elementary,Beginner,Intro to Science,-0.8397517200710459,1.099165631258045,Material_34,Basic,0.05237937839294985,100.91637126988064,56.81908961123659
Jagdish Khanna,8,Female,India,Madhya Pradesh,Kharagpur,Advice worker,Low,Elementary,Beginner,Reading Comprehension,-1.6295445955247216,0.854671914070744,Material_26,Basic,-0.8032043105342649,86.7826391732791,44.02142992142783
Wazir Subramaniam,16,Female,India,Karnataka,Pimpri-Chinchwad,Homeopath,High,High,Advanced,Advanced Writing,0.1669182139076913,-1.5185770750218954,Material_21,Hard,0.7639630540695145,112.67130905853588,73.13098559741123
Kritika Pau,5,Male,India,Punjab,Ujjain,Community education officer,Medium,Elementary,Beginner,Reading Comprehension,0.5251415255047099,-1.3225527147833134,Material_37,Basic,-0.3653203620447872,94.01622075909968,78.93557079595656
Lajita Edwin,10,Male,India,Bihar,Faridabad,Water quality scientist,High,Elementary,Beginner,Math Basics,-0.0010534907825949192,-1.5047697296816007,Material_11,Basic,-1.1272184030619596,81.43011967275892,70.409202733887
Aishani Chaudhari,18,Female,India,Rajasthan,Muzaffarpur,Electrical engineer,Medium,High,Advanced,Advanced Writing,-1.1563907876992559,0.8138587475899686,Material_49,Hard,-1.579329567729555,73.961512963687,51.68832791668918
Mahika Madan,12,Female,India,Bihar,Visakhapatnam,"Editor, magazine features",Low,Middle,Intermediate,English Literature,1.3004049833276794,-0.23672831994130739,Material_15,Medium,2.4153571412394923,139.95135415060392,91.49779845275025
